"Main_Page",
"Help:Contents",
"Special:Search"
"Chinese_language",
"Mandarin_Chinese",
"Pinyin",
"Standard_Chinese",
"Traditional_Chinese_characters",
"Simplified_Chinese_characters",
"Chinese_characters",
"Wade%E2%80%93Giles",
"Cantonese",
"Jyutping",
"Hanyu_Pinyin",
"Literal_translation"
